Type,EDI_Std_Nomenclature,AISC_Manual_Label,EDI_Std_Nomenclature,AISC_Manual_Label
L,L5X5X3/8,L5X5X3/8,L127X127X9.5,L127X127X9.5
L,L5X5X5/16,L5X5X5/16,L127X127X7.9,L127X127X7.9
L,L5X3-1/2X3/4,L5X3-1/2X3/4,L127X89X19,L127X89X19
L,L5X3-1/2X5/8,L5X3-1/2X5/8,L127X89X15.9,L127X89X15.9
L,L5X3-1/2X1/2,L5X3-1/2X1/2,L127X89X12.7,L127X89X12.7
L,L5X3-1/2X3/8,L5X3-1/2X3/8,L127X89X9.5,L127X89X9.5
L,L5X3-1/2X5/16,L5X3-1/2X5/16,L127X89X7.9,L127X89X7.9
L,L5X3-1/2X1/4,L5X3-1/2X1/4,L127X89X6.4,L127X89X6.4
L,L5X3X1/2,L5X3X1/2,L127X76X12.7,L127X76X12.7
L,L5X3X7/16,L5X3X7/16,L127X76X11.1,L127X76X11.1
L,L5X3X3/8,L5X3X3/8,L127X76X9.5,L127X76X9.5
L,L5X3X5/16,L5X3X5/16,L127X76X7.9,L127X76X7.9
L,L5X3X1/4,L5X3X1/4,L127X76X6.4,L127X76X6.4
L,L4X4X3/4,L4X4X3/4,L102X102X19,L102X102X19
L,L4X4X5/8,L4X4X5/8,L102X102X15.9,L102X102X15.9
L,L4X4X1/2,L4X4X1/2,L102X102X12.7,L102X102X12.7
L,L4X4X7/16,L4X4X7/16,L102X102X11.1,L102X102X11.1
L,L4X4X3/8,L4X4X3/8,L102X102X9.5,L102X102X9.5
L,L4X4X5/16,L4X4X5/16,L102X102X7.9,L102X102X7.9
L,L4X4X1/4,L4X4X1/4,L102X102X6.4,L102X102X6.4
L,L4X3-1/2X1/2,L4X3-1/2X1/2,L102X89X12.7,L102X89X12.7
L,L4X3-1/2X3/8,L4X3-1/2X3/8,L102X89X9.5,L102X89X9.5
L,L4X3-1/2X5/16,L4X3-1/2X5/16,L102X89X7.9,L102X89X7.9
L,L4X3-1/2X1/4,L4X3-1/2X1/4,L102X89X6.4,L102X89X6.4
L,L4X3X5/8,L4X3X5/8,L102X76X15.9,L102X76X15.9
L,L4X3X1/2,L4X3X1/2,L102X76X12.7,L102X76X12.7
L,L4X3X3/8,L4X3X3/8,L102X76X9.5,L102X76X9.5
L,L4X3X5/16,L4X3X5/16,L102X76X7.9,L102X76X7.9
L,L4X3X1/4,L4X3X1/4,L102X76X6.4,L102X76X6.4
L,L3-1/2X3-1/2X1/2,L3-1/2X3-1/2X1/2,L89X89X12.7,L89X89X12.7
L,L3-1/2X3-1/2X7/16,L3-1/2X3-1/2X7/16,L89X89X11.1,L89X89X11.1
L,L3-1/2X3-1/2X3/8,L3-1/2X3-1/2X3/8,L89X89X9.5,L89X89X9.5
L,L3-1/2X3-1/2X5/16,L3-1/2X3-1/2X5/16,L89X89X7.9,L89X89X7.9
L,L3-1/2X3-1/2X1/4,L3-1/2X3-1/2X1/4,L89X89X6.4,L89X89X6.4
L,L3-1/2X3X1/2,L3-1/2X3X1/2,L89X76X12.7,L89X76X12.7
L,L3-1/2X3X7/16,L3-1/2X3X7/16,L89X76X11.1,L89X76X11.1
L,L3-1/2X3X3/8,L3-1/2X3X3/8,L89X76X9.5,L89X76X9.5
L,L3-1/2X3X5/16,L3-1/2X3X5/16,L89X76X7.9,L89X76X7.9
L,L3-1/2X3X1/4,L3-1/2X3X1/4,L89X76X6.4,L89X76X6.4
L,L3-1/2X2-1/2X1/2,L3-1/2X2-1/2X1/2,L89X64X12.7,L89X64X12.7
L,L3-1/2X2-1/2X3/8,L3-1/2X2-1/2X3/8,L89X64X9.5,L89X64X9.5
L,L3-1/2X2-1/2X5/16,L3-1/2X2-1/2X5/16,L89X64X7.9,L89X64X7.9
L,L3-1/2X2-1/2X1/4,L3-1/2X2-1/2X1/4,L89X64X6.4,L89X64X6.4
L,L3X3X1/2,L3X3X1/2,L76X76X12.7,L76X76X12.7
L,L3X3X7/16,L3X3X7/16,L76X76X11.1,L76X76X11.1
L,L3X3X3/8,L3X3X3/8,L76X76X9.5,L76X76X9.5
L,L3X3X5/16,L3X3X5/16,L76X76X7.9,L76X76X7.9
L,L3X3X1/4,L3X3X1/4,L76X76X6.4,L76X76X6.4
L,L3X3X3/16,L3X3X3/16,L76X76X4.8,L76X76X4.8
L,L3X2-1/2X1/2,L3X2-1/2X1/2,L76X64X12.7,L76X64X12.7
L,L3X2-1/2X7/16,L3X2-1/2X7/16,L76X64X11.1,L76X64X11.1
L,L3X2-1/2X3/8,L3X2-1/2X3/8,L76X64X9.5,L76X64X9.5
L,L3X2-1/2X5/16,L3X2-1/2X5/16,L76X64X7.9,L76X64X7.9
L,L3X2-1/2X1/4,L3X2-1/2X1/4,L76X64X6.4,L76X64X6.4
L,L3X2-1/2X3/16,L3X2-1/2X3/16,L76X64X4.8,L76X64X4.8
L,L3X2X1/2,L3X2X1/2,L76X51X12.7,L76X51X12.7
L,L3X2X3/8,L3X2X3/8,L76X51X9.5,L76X51X9.5
L,L3X2X5/16,L3X2X5/16,L76X51X7.9,L76X51X7.9
L,L3X2X1/4,L3X2X1/4,L76X51X6.4,L76X51X6.4
L,L3X2X3/16,L3X2X3/16,L76X51X4.8,L76X51X4.8
L,L2-1/2X2-1/2X1/2,L2-1/2X2-1/2X1/2,L64X64X12.7,L64X64X12.7
L,L2-1/2X2-1/2X3/8,L2-1/2X2-1/2X3/8,L64X64X9.5,L64X64X9.5
L,L2-1/2X2-1/2X5/16,L2-1/2X2-1/2X5/16,L64X64X7.9,L64X64X7.9
L,L2-1/2X2-1/2X1/4,L2-1/2X2-1/2X1/4,L64X64X6.4,L64X64X6.4
L,L2-1/2X2-1/2X3/16,L2-1/2X2-1/2X3/16,L64X64X4.8,L64X64X4.8
L,L2-1/2X2X3/8,L2-1/2X2X3/8,L64X51X9.5,L64X51X9.5
L,L2-1/2X2X5/16,L2-1/2X2X5/16,L64X51X7.9,L64X51X7.9
L,L2-1/2X2X1/4,L2-1/2X2X1/4,L64X51X6.4,L64X51X6.4
L,L2-1/2X2X3/16,L2-1/2X2X3/16,L64X51X4.8,L64X51X4.8
L,L2-1/2X1-1/2X1/4,L2-1/2X1-1/2X1/4,L64X38X6.4,L64X38X6.4
L,L2-1/2X1-1/2X3/16,L2-1/2X1-1/2X3/16,L64X38X4.8,L64X38X4.8
L,L2X2X3/8,L2X2X3/8,L51X51X9.5,L51X51X9.5
L,L2X2X5/16,L2X2X5/16,L51X51X7.9,L51X51X7.9
L,L2X2X1/4,L2X2X1/4,L51X51X6.4,L51X51X6.4
L,L2X2X3/16,L2X2X3/16,L51X51X4.8,L51X51X4.8
L,L2X2X1/8,L2X2X1/8,L51X51X3.2,L51X51X3.2
HSS,HSS24X12X.750,HSS24X12X3/4,HSS609.6X304.8X19,HSS609.6X304.8X19
HSS,HSS24X12X.625,HSS24X12X5/8,HSS609.6X304.8X15.9,HSS609.6X304.8X15.9
HSS,HSS24X12X.500,HSS24X12X1/2,HSS609.6X304.8X12.7,HSS609.6X304.8X12.7
HSS,HSS22X22X.875,HSS22X22X7/8,HSS558.8X558.8X22.2,HSS558.8X558.8X22.2
HSS,HSS22X22X.750,HSS22X22X3/4,HSS558.8X558.8X19,HSS558.8X558.8X19
HSS,HSS20X20X.875,HSS20X20X7/8,HSS508X508X22.2,HSS508X508X22.2
HSS,HSS20X20X.750,HSS20X20X3/4,HSS508X508X19,HSS508X508X19
HSS,HSS20X20X.625,HSS20X20X5/8,HSS508X508X15.9,HSS508X508X15.9
HSS,HSS20X20X.500,HSS20X20X1/2,HSS508X508X12.7,HSS508X508X12.7
HSS,HSS20X12X.750,HSS20X12X3/4,HSS508X304.8X19,HSS508X304.8X19
HSS,HSS20X12X.625,HSS20X12X5/8,HSS508X304.8X15.9,HSS508X304.8X15.9
HSS,HSS20X12X.500,HSS20X12X1/2,HSS508X304.8X12.7,HSS508X304.8X12.7
HSS,HSS20X12X.375,HSS20X12X3/8,HSS508X304.8X9.5,HSS508X304.8X9.5
HSS,HSS20X12X.313,HSS20X12X5/16,HSS508X304.8X7.9,HSS508X304.8X7.9
HSS,HSS20X8X.625,HSS20X8X5/8,HSS508X203.2X15.9,HSS508X203.2X15.9
